segment_id,seq,lat,lng,place_id,source,seed_lat,seed_lng,seed,attempt
1757737014_000000,0,40.636858,-74.004563,ChIJH0b9ozVFwokRJo2cKud4AjA,google_snap_interpolate,40.637163,-74.005071,1920619349,4
1757737014_000000,1,40.636993,-74.004423,ChIJH0b9ozVFwokRJo2cKud4AjA,google_snap_interpolate,40.637163,-74.005071,1920619349,4
1757737014_000000,2,40.637294,-74.004108,ChIJdQTTBTVFwokRQAirQEewHtc,google_snap_interpolate,40.637163,-74.005071,1920619349,4
1757737014_000000,3,40.637554,-74.003835,ChIJdQTTBTVFwokRcZG521-qDtM,google_snap_interpolate,40.637163,-74.005071,1920619349,4
1757737014_000000,4,40.637889,-74.003489,ChIJLfjj4TRFwokR2OFVpZaVe24,google_snap_interpolate,40.637163,-74.005071,1920619349,4
1757737014_000000,5,40.638114,-74.003256,ChIJLfjj4TRFwokR06ICLKkm1Ls,google_snap_interpolate,40.637163,-74.005071,1920619349,4
1757737014_000000,6,40.638419,-74.002937,ChIJtTJt2zRFwokRfZTkUSxFQg4,google_snap_interpolate,40.637163,-74.005071,1920619349,4
1757737014_000000,7,40.638578,-74.00323,ChIJ2xsl2jRFwokRJGNbydMtIXQ,google_snap_interpolate,40.637163,-74.005071,1920619349,4
1757737014_000001,0,40.622891,-73.982496,ChIJaZ84mdhEwokRHFBl0X6VPrA,google_snap_interpolate,40.622904,-73.982514,684773150,1
1757737014_000001,1,40.622989,-73.982383,ChIJaZ84mdhEwokRHFBl0X6VPrA,google_snap_interpolate,40.622904,-73.982514,684773150,1
1757737014_000001,2,40.623008,-73.982379,ChIJaZ84mdhEwokRHFBl0X6VPrA,google_snap_interpolate,40.622904,-73.982514,684773150,1
1757737014_000001,3,40.623017,-73.982379,ChIJaZ84mdhEwokRHFBl0X6VPrA,google_snap_interpolate,40.622904,-73.982514,684773150,1
1757737014_000001,4,40.623027,-73.982385,ChIJaZ84mdhEwokRHFBl0X6VPrA,google_snap_interpolate,40.622904,-73.982514,684773150,1
1757737014_000001,5,40.623042,-73.982403,ChIJaZ84mdhEwokRHFBl0X6VPrA,google_snap_interpolate,40.622904,-73.982514,684773150,1
1757737014_000001,6,40.623053,-73.982422,ChIJaZ84mdhEwokRHFBl0X6VPrA,google_snap_interpolate,40.622904,-73.982514,684773150,1
